journal_id,title,issn,eissn,selection_reason,priority
J14710072,Nature Reviews Molecular Cell Biology,1471-0072,1471-0080,Indicadores favorables y doble cobertura,alta
J00015385,Acta Cardiologica,0001-5385,0373-7934,Alerta cuantitativa alta,alta
J23297662,3D Printing and Additive Manufacturing,2329-7662,2329-7670,Alerta cuantitativa moderada,alta
J20133294,452ºF,2013-3294,,Evaluación limitada y presencia en DOAJ,alta
J23321091,Civil Engineering and Architecture,2332-1091,2332-1121,Sin señales cuantitativas y caso de control,alta
J07981015,Espacios,0798-1015,,Retiro documentado y serie histórica,alta
J16904648,Boletin de Malariologia y Salud Ambiental,1690-4648,,Scopus inactiva y cobertura histórica en InCites,alta
J21769079,Comunicata Scientiae,2176-9079,2177-5133,Caso de revisión editorial solicitado,alta
J2190572X,3 Biotech,2190-572X,2190-5738,Indicadores favorables y doble cobertura,media
J05912385,Zygon,0591-2385,1467-9744,Indicadores favorables y presencia en DOAJ,media
J15717283,Zutot,1571-7283,1875-0214,Evaluación limitada con doble cobertura,media
J09671994,Zygote,0967-1994,1469-8730,Sin señales cuantitativas con doble cobertura,media
J01924788,"Activities, Adaptation and Aging",0192-4788,1544-4368,Muestra adicional de alerta cuantitativa alta,alta
J23294906,Business and Professional Communication Quarterly,2329-4906,2329-4922,Muestra adicional de alerta cuantitativa alta,alta
J00113840,Current Problems in Surgery,0011-3840,1535-6337,Muestra adicional de alerta cuantitativa alta,alta
J16004469,Dental Traumatology,1600-4469,1600-9657,Muestra adicional de alerta cuantitativa alta,alta
J03026701,Egyptian Journal of Soil Science,0302-6701,2357-0369,Muestra adicional de alerta cuantitativa alta,alta
J01285157,"3L: Language, Linguistics, Literature",0128-5157,2550-2247,Muestra adicional de alerta cuantitativa moderada,media
J07434618,AAC: Augmentative and Alternative Communication,0743-4618,1477-3848,Muestra adicional de alerta cuantitativa moderada,media
J03650359,"AAPP Atti della Accademia Peloritana dei Pericolanti, Classe di Scienze Fisiche, Matematiche e Naturali",0365-0359,1825-1242,Muestra adicional de alerta cuantitativa moderada,media
J23742895,Academic Pathology,2374-2895,,Muestra adicional de alerta cuantitativa moderada,media
J02107287,1616-ANUARIO DE LITERATURA COMPARADA,0210-7287,2445-2262,Muestra adicional de evaluación limitada,media
J16524772,1700-tal: Nordic Journal for Eighteenth-Century Studies,1652-4772,2001-9866,Muestra adicional de evaluación limitada,media
J08989575,a/b: Auto/Biography Studies,0898-9575,2151-7290,Muestra adicional de evaluación limitada,media
J25647474,A/Z ITU Journal of the Faculty of Architecture,2564-7474,2564-7571,Muestra adicional de evaluación limitada,media
J17917573,Τεκμήρια,1791-7573,,Muestra adicional de retiro o desindexación documentada,alta
J19947836,Науковий вісник НЛТУ України,1994-7836,,Muestra adicional de retiro o desindexación documentada,alta
J19979665,Морфологія,1997-9665,,Muestra adicional de retiro o desindexación documentada,alta
J20531583,2D Materials,2053-1583,,Muestra adicional de indicadores bibliométricos favorables,media
J23656271,3D Printing in Medicine,2365-6271,,Muestra adicional de indicadores bibliométricos favorables,media
