journal_id,title,issn,eissn,status,openalex_source_id,openalex_title,match_confidence,error
J14710072,Nature Reviews Molecular Cell Biology,1471-0072,1471-0080,matched,https://openalex.org/S196724125,Nature Reviews Molecular Cell Biology,high,
J00015385,Acta Cardiologica,0001-5385,0373-7934,ambiguous,,,,
J23297662,3D Printing and Additive Manufacturing,2329-7662,2329-7670,matched,https://openalex.org/S4210174904,3D Printing and Additive Manufacturing,high,
J20133294,452ºF,2013-3294,,matched,https://openalex.org/S4210177177,452ºF Revista de Teoría de la literatura y Literatura Comparada,high,
J23321091,Civil Engineering and Architecture,2332-1091,2332-1121,matched,https://openalex.org/S4210186571,Civil Engineering and Architecture,high,
J07981015,Espacios,0798-1015,,matched,https://openalex.org/S4210175031,ESPACIOS,high,
J16904648,Boletin de Malariologia y Salud Ambiental,1690-4648,,matched,https://openalex.org/S966885642,Boletín de Malariología y Salud Ambiental,high,
J21769079,Comunicata Scientiae,2176-9079,2177-5133,matched,https://openalex.org/S4210228716,Comunicata Scientiae,high,
J2190572X,3 Biotech,2190-572X,2190-5738,matched,https://openalex.org/S4210190239,3 Biotech,high,
J05912385,Zygon,0591-2385,1467-9744,matched,https://openalex.org/S128470386,Zygon®,high,
J15717283,Zutot,1571-7283,1875-0214,matched,https://openalex.org/S4210174357,Zutot,high,
J09671994,Zygote,0967-1994,1469-8730,matched,https://openalex.org/S99576920,Zygote,high,
J01924788,"Activities, Adaptation and Aging",0192-4788,1544-4368,matched,https://openalex.org/S185153313,Activities Adaptation & Aging,high,
J23294906,Business and Professional Communication Quarterly,2329-4906,2329-4922,matched,https://openalex.org/S4210193456,Business and Professional Communication Quarterly,high,
J00113840,Current Problems in Surgery,0011-3840,1535-6337,matched,https://openalex.org/S84847770,Current Problems in Surgery,high,
J16004469,Dental Traumatology,1600-4469,1600-9657,matched,https://openalex.org/S113867935,Dental Traumatology,high,
J03026701,Egyptian Journal of Soil Science,0302-6701,2357-0369,matched,https://openalex.org/S4210230455,Egyptian Journal of Soil Science,high,
J01285157,"3L: Language, Linguistics, Literature",0128-5157,2550-2247,matched,https://openalex.org/S4210230078,3L The Southeast Asian Journal of English Language Studies,high,
J07434618,AAC: Augmentative and Alternative Communication,0743-4618,1477-3848,matched,https://openalex.org/S147155939,Augmentative and Alternative Communication,high,
J03650359,"AAPP Atti della Accademia Peloritana dei Pericolanti, Classe di Scienze Fisiche, Matematiche e Naturali",0365-0359,1825-1242,matched,https://openalex.org/S2739114148,"Atti della Accademia Peloritana dei Pericolanti. Classe di Scienze Fisiche, Matematiche e Naturali/Atti della Accademia Peloritana dei Pericolanti, Classe di Scienze Fisiche, Matematiche e Naturali",high,
J23742895,Academic Pathology,2374-2895,,matched,https://openalex.org/S4210212924,Academic Pathology,high,
J02107287,1616-ANUARIO DE LITERATURA COMPARADA,0210-7287,2445-2262,matched,https://openalex.org/S4210168538,1616 Anuario de Literatura Comparada,high,
J16524772,1700-tal: Nordic Journal for Eighteenth-Century Studies,1652-4772,2001-9866,matched,https://openalex.org/S4210168009,1700-tal Nordic Journal for Eighteenth-Century Studies,high,
J08989575,a/b: Auto/Biography Studies,0898-9575,2151-7290,matched,https://openalex.org/S4210179108,a/b Auto/Biography Studies,high,
J25647474,A/Z ITU Journal of the Faculty of Architecture,2564-7474,2564-7571,matched,https://openalex.org/S4387288082,ITU Press Press of the Istanbul Technical University,high,
J17917573,Τεκμήρια,1791-7573,,matched,https://openalex.org/S4210192701,Τεκμήρια,high,
J19947836,Науковий вісник НЛТУ України,1994-7836,,matched,https://openalex.org/S2764816348,Scientific Bulletin of UNFU,high,
J19979665,Морфологія,1997-9665,,matched,https://openalex.org/S4210171323,Morphologia,high,
J20531583,2D Materials,2053-1583,,matched,https://openalex.org/S4210229423,2D Materials,high,
J23656271,3D Printing in Medicine,2365-6271,,matched,https://openalex.org/S4210191256,3D Printing in Medicine,high,
